Model_ID;Hidden_Layers;Activation;Solver;Learning_Rate_Init;Early_Stopping;MSE;RMSE;MAE
4;(100, 50);relu;adam;0,001;True;0,15191519;0,389762992;0,230156446
5;(150, 100);relu;adam;0,001;True;0,17600267;0,419526721;0,304668984
3;(-100);relu;adam;0,001;True;0,184158767;0,429137236;0,195598168
6;(100, 50);tanh;adam;0,001;True;0,198784048;0,445852047;0,35822258
1;(-50);relu;adam;0,001;True;0,20053935;0,447816201;0,202942136
2;(-50);tanh;adam;0,001;True;0,209489919;0,457700687;0,290442484
BEST_MODEL_RETRAINED;(100, 50);relu;adam;0,001;False;0,167586009;0,409372702;0,303493837
